daytime,ExitSpeed,VExitAngle,HExitAngle,Carry,Bearing,HangTime,rho,hand,outcome,slg,LW,
214.59725,79.7,37.3,46.7,280.1,64.1,4.721,5.211E-03,Right,Fly Out,0,-0.289,
214.59771,73.7,35.6,20.9,227.0,30.8,3.835,5.211E-03,Right,Fly Out,0,-0.289,
214.61013,77.3,32.6,27.9,275.4,29.7,4.144,5.211E-03,Left,Fly Out,0,-0.289,
214.61882,77.0,41.9,1.3,261.7,7.4,5.118,5.211E-03,Right,Fly Out,0,-0.289,
214.63503,99.7,14.2,-3.7,326.5,-6.4,3.358,5.211E-03,Right,Fly Out,0,-0.289,
214.64059,94.3,28.7,19.4,320.5,32.3,4.278,5.211E-03,Right,Fly Out,0,-0.289,
214.65159,93.9,28.6,13.9,343.5,25.9,4.578,5.211E-03,Right,Fly Out,0,-0.289,
222.81037,91.8,24.2,8.2,350.0,4.4,4.473,5.202E-03,Left,Flyout,0,-0.289,
222.82693,87.7,-6.0,-50.3,14.9,-49.0,0.104,5.202E-03,Right,Flyout,0,-0.289,
222.82737,89.1,-3.1,-55.0,11.8,-59.3,0.078,5.202E-03,Right,Flyout,0,-0.289,
222.82772,76.4,40.4,-17.2,274.3,-16.3,5.217,5.202E-03,Right,Flyout,0,-0.289,
222.84128,86.0,26.5,11.8,333.7,9.7,4.408,5.202E-03,Left,Flyout,0,-0.289,
222.85412,83.4,38.9,0.2,289.3,1.1,5.407,5.202E-03,Right,Flyout,0,-0.289,
222.87220,77.4,30.3,-20.1,293.9,-22.3,4.425,5.202E-03,Right,Flyout,0,-0.289,
222.87418,104.3,24.9,-42.5,358.9,-58.2,3.671,5.202E-03,Right,Flyout,0,-0.289,
222.87519,83.4,40.6,20.1,271.2,31.7,4.795,5.202E-03,Right,Flyout,0,-0.289,
222.88448,69.1,26.9,4.8,255.6,-0.2,3.936,5.202E-03,Left,Flyout,0,-0.289,
223.82091,91.8,36.4,11.2,348.2,19.9,5.483,5.182E-03,Right,Flyout,0,-0.289,
223.82596,93.1,30.8,11.2,327.6,24.8,4.796,5.182E-03,Right,Flyout,0,-0.289,
223.83993,84.6,32.1,30.5,326.4,36.4,5.033,5.182E-03,Left,Flyout,0,-0.289,
223.86531,83.3,13.3,53.3,177.0,60.8,1.739,5.182E-03,Left,Flyout,0,-0.289,
223.86666,97.8,25.6,1.0,367.1,-10.5,5.018,5.182E-03,Left,Flyout,0,-0.289,
223.91383,92.7,35.0,2.6,335.3,10.4,5.531,5.182E-03,Right,Flyout,0,-0.289,
224.85256,81.7,27.4,-26.6,311.6,-34.5,4.443,5.182E-03,Right,Flyout,0,-0.289,
224.86257,88.2,36.8,-4.6,310.0,-0.6,5.422,5.182E-03,Right,Flyout,0,-0.289,
224.86782,72.2,29.8,20.9,262.2,20.5,4.148,5.182E-03,Left,Flyout,0,-0.289,
224.87870,99.3,17.5,22.9,302.2,34.4,3.065,5.182E-03,Right,Flyout,0,-0.289,
224.88221,92.0,26.0,-16.4,312.0,-34.5,4.163,5.182E-03,Left,Flyout,0,-0.289,
224.90167,77.8,29.8,-13.0,300.2,-12.4,4.563,5.182E-03,Right,Flyout,0,-0.289,
224.90706,81.3,30.2,18.6,280.7,32.7,4.083,5.182E-03,Right,Flyout,0,-0.289,
224.90981,74.4,42.2,3.0,243.1,10.2,5.127,5.182E-03,Right,Flyout,0,-0.289,
224.91486,93.3,18.4,13.9,299.2,25.2,3.352,5.182E-03,Right,Flyout,0,-0.289,
226.81154,86.8,23.2,10.8,318.3,19.9,4.076,5.173E-03,Right,Flyout,0,-0.289,
226.81334,94.4,26.5,4.0,343.1,11.5,4.484,5.173E-03,Right,Flyout,0,-0.289,
226.83416,98.1,31.7,2.3,368.4,8.5,5.768,5.173E-03,Right,Flyout,0,-0.289,
226.87997,79.1,34.3,-19.9,262.7,-36.0,4.420,5.173E-03,Left,Flyout,0,-0.289,
226.90160,85.5,33.8,-23.2,326.6,-30.0,5.224,5.173E-03,Right,Flyout,0,-0.289,
226.92309,84.0,29.8,6.3,307.4,16.1,4.742,5.173E-03,Right,Flyout,0,-0.289,
227.76781,72.2,31.2,-33.4,273.6,-40.6,3.969,5.116E-03,Right,Flyout,0,-0.289,
227.79243,87.6,26.1,-16.8,325.9,-28.6,4.241,5.116E-03,Left,Flyout,0,-0.289,
227.80024,78.3,38.2,-13.3,274.6,-14.2,5.242,5.116E-03,Right,Flyout,0,-0.289,
227.83096,99.2,19.0,-4.2,353.4,-2.8,3.522,5.116E-03,Right,Flyout,0,-0.289,
227.84573,75.9,46.2,-8.9,233.7,-12.9,5.323,5.116E-03,Right,Flyout,0,-0.289,
227.87676,71.4,45.2,18.8,215.6,38.4,4.925,5.116E-03,Right,Flyout,0,-0.289,
227.87909,72.9,40.8,5.6,248.9,-4.7,5.097,5.116E-03,Left,Flyout,0,-0.289,
227.88905,105.5,21.2,15.4,357.0,24.0,3.609,5.116E-03,Left,Flyout,0,-0.289,
227.89037,94.8,27.1,-11.8,336.2,-28.4,4.395,5.116E-03,Left,Flyout,0,-0.289,
228.55584,95.3,20.6,-11.6,323.6,-25.4,3.590,5.135E-03,Left,Flyout,0,-0.289,
228.56400,88.2,40.7,12.1,289.3,26.1,5.308,5.135E-03,Right,Flyout,0,-0.289,
228.56639,93.9,31.7,7.1,344.0,14.6,5.133,5.135E-03,Right,Flyout,0,-0.289,
228.70249,91.1,30.9,1.9,342.7,5.9,4.921,5.135E-03,Right,Flyout,0,-0.289,
228.70778,75.8,37.5,-6.6,268.2,-8.0,4.901,5.135E-03,Right,Flyout,0,-0.289,
228.70962,56.6,4.9,-49.0,54.4,-53.4,0.684,5.135E-03,Left,Flyout,0,-0.289,
228.77067,85.7,32.6,-19.8,289.9,-34.9,4.339,5.135E-03,Left,Flyout,0,-0.289,
228.77711,82.1,32.6,2.4,298.0,10.4,4.650,5.135E-03,Right,Flyout,0,-0.289,
237.81752,92.9,29.9,-17.7,371.3,-21.0,5.263,5.231E-03,Right,Flyout,0,-0.289,
237.82601,91.8,27.0,-1.4,362.0,3.2,5.238,5.231E-03,Right,Flyout,0,-0.289,
237.84418,93.8,21.3,38.4,314.7,53.2,3.825,5.231E-03,Right,Flyout,0,-0.289,
237.85091,75.1,39.0,13.6,245.5,24.0,4.428,5.231E-03,Right,Flyout,0,-0.289,
237.86350,96.4,29.0,-7.1,391.7,-6.0,5.773,5.231E-03,Right,Flyout,0,-0.289,
237.89307,100.5,26.7,7.9,369.0,17.3,5.134,5.231E-03,Right,Flyout,0,-0.289,
238.81596,85.5,23.7,-2.4,328.0,0.2,4.246,5.192E-03,Right,Flyout,0,-0.289,
238.82628,93.3,32.7,-5.6,360.0,-18.3,5.429,5.192E-03,Left,Flyout,0,-0.289,
238.85846,89.3,32.4,-3.2,325.2,0.9,5.181,5.192E-03,Right,Flyout,0,-0.289,
240.81193,56.1,22.3,-47.3,110.8,-52.1,1.569,5.290E-03,Right,Flyout,0,-0.289,
240.81265,82.9,44.5,11.2,257.3,14.5,5.214,5.290E-03,Right,Flyout,0,-0.289,
244.86282,95.4,35.0,-14.2,365.6,-15.1,5.815,5.320E-03,Right,Flyout,0,-0.289,
244.90113,88.5,25.9,9.0,322.3,18.7,4.306,5.320E-03,Right,Flyout,0,-0.289,
244.90234,89.2,36.6,18.1,320.4,33.0,5.335,5.320E-03,Right,Flyout,0,-0.289,
245.80479,86.6,38.8,-0.9,324.0,0.6,5.820,5.290E-03,Right,Flyout,0,-0.289,
245.82405,100.2,9.7,19.0,207.0,25.4,1.740,5.290E-03,Right,Flyout,0,-0.289,
245.85189,76.4,28.2,-18.5,269.2,-18.7,4.084,5.290E-03,Right,Flyout,0,-0.289,
245.87588,92.2,31.4,11.5,332.9,21.9,5.257,5.290E-03,Right,Flyout,0,-0.289,
245.89140,93.0,37.7,13.6,314.1,28.3,5.502,5.290E-03,Right,Flyout,0,-0.289,
245.89499,83.3,35.2,-26.4,300.3,-35.4,5.233,5.290E-03,Right,Flyout,0,-0.289,
245.90147,84.5,29.0,5.1,320.1,11.0,4.606,5.290E-03,Right,Flyout,0,-0.289,
245.91330,92.0,32.8,10.6,330.1,22.7,5.193,5.290E-03,Right,Flyout,0,-0.289,
245.92277,75.1,35.7,37.2,260.4,51.7,4.294,5.290E-03,Right,Flyout,0,-0.289,
245.92311,74.1,27.6,11.8,255.8,20.3,3.883,5.290E-03,Right,Flyout,0,-0.289,
246.55995,96.2,19.4,0.4,329.6,6.7,3.829,5.202E-03,Right,Flyout,0,-0.289,
246.57111,91.8,28.1,13.4,338.8,26.1,4.620,5.202E-03,Right,Flyout,0,-0.289,
246.57514,81.7,23.6,5.7,280.4,14.7,3.893,5.202E-03,Right,Flyout,0,-0.289,
246.57720,90.6,21.5,9.7,338.6,8.0,4.194,5.202E-03,Left,Flyout,0,-0.289,
254.84882,83.6,33.8,-23.1,266.2,-42.6,4.290,5.240E-03,Left,Flyout,0,-0.289,
254.87090,86.4,36.3,1.9,301.1,-4.0,5.495,5.240E-03,Left,Flyout,0,-0.289,
254.88056,92.9,30.4,6.6,358.1,14.4,5.142,5.240E-03,Right,Flyout,0,-0.289,
254.90903,95.6,28.5,19.9,336.4,33.8,4.462,5.240E-03,Right,Flyout,0,-0.289,
255.64326,90.2,32.2,4.8,329.0,11.5,5.182,5.192E-03,Right,Flyout,0,-0.289,
256.55667,91.2,25.4,21.9,312.1,33.9,4.376,5.211E-03,Right,Flyout,0,-0.289,
256.59087,81.2,32.9,-1.8,294.0,0.2,4.885,5.211E-03,Right,Flyout,0,-0.289,
256.60388,71.9,39.9,2.1,220.5,11.5,4.607,5.211E-03,Right,Flyout,0,-0.289,
256.61185,72.0,31.7,21.5,255.6,22.3,4.354,5.211E-03,Left,Flyout,0,-0.289,
256.61330,81.4,25.6,24.6,250.3,38.2,3.430,5.211E-03,Right,Flyout,0,-0.289,
256.61581,81.8,43.5,8.5,261.4,18.4,5.971,5.211E-03,Right,Flyout,0,-0.289,
257.80471,100.2,30.7,9.7,379.2,4.4,5.759,5.260E-03,Left,Flyout,0,-0.289,
257.83586,87.3,26.0,-3.2,325.9,-14.9,4.499,5.260E-03,Left,Flyout,0,-0.289,
257.84057,97.4,25.8,-16.1,378.2,-22.7,4.841,5.260E-03,Right,Flyout,0,-0.289,
257.84380,91.6,31.2,-4.6,335.2,-3.3,5.495,5.260E-03,Right,Flyout,0,-0.289,
257.85124,85.9,41.7,-11.2,291.5,-24.0,5.631,5.260E-03,Left,Flyout,0,-0.289,
257.87902,76.7,26.3,50.6,260.2,65.5,3.513,5.260E-03,Right,Flyout,0,-0.289,
257.87940,97.4,10.9,-40.3,131.2,-47.3,1.038,5.260E-03,Right,Flyout,0,-0.289,
257.90867,83.0,31.6,-11.9,289.9,-26.1,4.587,5.260E-03,Left,Flyout,0,-0.289,
258.87895,87.4,36.6,24.7,279.5,34.1,4.936,5.250E-03,Right,Flyout,0,-0.289,
259.56869,76.0,48.7,14.2,223.3,15.9,5.139,5.173E-03,Left,Flyout,0,-0.289,
259.57990,98.0,23.7,6.9,351.4,13.8,4.637,5.173E-03,Right,Flyout,0,-0.289,
259.60332,97.6,24.4,-3.9,375.4,-2.7,4.838,5.173E-03,Right,Flyout,0,-0.289,
261.86875,93.1,30.3,-1.9,356.1,-12.1,5.194,5.290E-03,Left,Flyout,0,-0.289,
261.88066,96.9,27.5,-3.2,382.1,-1.1,5.494,5.290E-03,Right,Flyout,0,-0.289,
261.90624,95.1,25.8,-6.4,381.2,-5.6,5.300,5.290E-03,Left,Flyout,0,-0.289,
262.64527,99.2,21.5,12.8,337.5,25.4,3.979,5.182E-03,Left,Flyout,0,-0.289,
262.65900,94.6,18.5,-12.0,299.6,-24.6,3.271,5.182E-03,Left,Flyout,0,-0.289,
262.68135,75.4,30.6,-4.1,287.2,-4.4,4.345,5.182E-03,Right,Flyout,0,-0.289,
262.69251,83.1,37.5,15.1,282.2,28.5,4.978,5.182E-03,Right,Flyout,0,-0.289,
262.70847,95.6,18.8,-7.7,316.0,-20.8,3.552,5.182E-03,Left,Flyout,0,-0.289,
263.80231,81.6,37.4,-13.5,266.6,-31.5,4.414,5.330E-03,Left,Flyout,0,-0.289,
263.80571,94.0,26.6,-7.3,377.4,-10.7,4.658,5.330E-03,Right,Flyout,0,-0.289,
263.85965,92.0,38.0,-2.7,349.4,1.7,5.612,5.330E-03,Right,Flyout,0,-0.289,
275.82069,86.0,33.8,-8.2,330.6,-9.0,5.075,5.381E-03,Right,Flyout,0,-0.289,
275.82164,91.7,34.5,-4.4,359.2,-5.0,5.368,5.381E-03,Right,Flyout,0,-0.289,
275.82709,81.3,24.4,10.2,306.0,4.6,4.050,5.381E-03,Left,Flyout,0,-0.289,
275.82953,92.2,25.7,-21.0,325.5,-36.3,4.187,5.381E-03,Left,Flyout,0,-0.289,
275.85855,94.9,26.1,15.5,359.0,25.8,4.320,5.381E-03,Right,Flyout,0,-0.289,
275.86065,85.8,19.2,7.1,298.7,14.7,3.595,5.381E-03,Right,Flyout,0,-0.289,
