pl,vt,old,new
Tim Raines,Dan Gelston,1,1
Nomar Garciaparra,Dan Gelston,0,0
Mike Mussina,Dan Gelston,0,0
Gary Sheffield,Dan Gelston,0,0
Fred McGriff,Dan Gelston,0,0
Alan Trammell,Dan Gelston,0,0
Sammy Sosa,Dan Gelston,0,0
Larry Walker,Dan Shaughnessy,0,0
Roger Clemens,Dan Shaughnessy,0,0
Curt Schilling,Dan Shaughnessy,1,1
Mike Piazza,Dan Shaughnessy,0,0
Lee Smith,Dan Shaughnessy,0,0
Barry Bonds,Dan Shaughnessy,0,0
Jeff Kent,Dan Shaughnessy,0,0
Edgar Martinez,Dan Shaughnessy,0,0
Jeff Bagwell,Dan Shaughnessy,0,0
Mark McGwire,Dan Shaughnessy,0,0
Tim Raines,Dan Shaughnessy,1,1
Nomar Garciaparra,Dan Shaughnessy,0,0
Mike Mussina,Dan Shaughnessy,0,0
Gary Sheffield,Dan Shaughnessy,0,0
Fred McGriff,Dan Shaughnessy,0,0
Alan Trammell,Dan Shaughnessy,1,1
Sammy Sosa,Dan Shaughnessy,0,0
Larry Walker,Danny Knobler,0,0
Roger Clemens,Danny Knobler,1,1
Curt Schilling,Danny Knobler,1,1
Mike Piazza,Danny Knobler,1,1
Lee Smith,Danny Knobler,0,0
Barry Bonds,Danny Knobler,1,1
Jeff Kent,Danny Knobler,0,0
Edgar Martinez,Danny Knobler,0,0
Jeff Bagwell,Danny Knobler,0,0
Mark McGwire,Danny Knobler,1,1
Tim Raines,Danny Knobler,1,1
Nomar Garciaparra,Danny Knobler,0,0
Mike Mussina,Danny Knobler,0,0
Gary Sheffield,Danny Knobler,0,0
Fred McGriff,Danny Knobler,0,0
Alan Trammell,Danny Knobler,1,1
Sammy Sosa,Danny Knobler,0,0
Larry Walker,Dave Krieger,1,1
Roger Clemens,Dave Krieger,0,0
Curt Schilling,Dave Krieger,1,1
Mike Piazza,Dave Krieger,1,1
Lee Smith,Dave Krieger,0,0
Barry Bonds,Dave Krieger,0,0
Jeff Kent,Dave Krieger,0,0
Edgar Martinez,Dave Krieger,0,1
Jeff Bagwell,Dave Krieger,1,1
Mark McGwire,Dave Krieger,0,0
Tim Raines,Dave Krieger,1,1
Nomar Garciaparra,Dave Krieger,0,0
Mike Mussina,Dave Krieger,1,1
Gary Sheffield,Dave Krieger,0,1
Fred McGriff,Dave Krieger,0,0
Alan Trammell,Dave Krieger,1,1
Sammy Sosa,Dave Krieger,0,0
Larry Walker,David Borges,0,0
Roger Clemens,David Borges,1,1
Curt Schilling,David Borges,1,1
Mike Piazza,David Borges,1,1
Lee Smith,David Borges,0,0
Barry Bonds,David Borges,1,1
Jeff Kent,David Borges,0,0
Edgar Martinez,David Borges,0,0
Jeff Bagwell,David Borges,0,0
Mark McGwire,David Borges,1,1
Tim Raines,David Borges,0,0
Nomar Garciaparra,David Borges,0,0
Mike Mussina,David Borges,0,0
Gary Sheffield,David Borges,0,0
Fred McGriff,David Borges,0,0
Alan Trammell,David Borges,0,0
