idx,rank,player,war
6,93,Jim Palmer,41.8
6,94,Andruw Jones,41.5
6,95,Reggie Jackson,41.5
6,96,Brooks Robinson,41.2
6,97,Eddie Cicotte,41.2
6,98,Chipper Jones,40.9
6,99,Bobby Grich,40.8
6,100,Ralph Kiner,40.7
7,1,Walter Johnson,89.5
7,2,Babe Ruth,84.9
7,3,Willie Mays,73.7
7,4,Rogers Hornsby,73.5
7,5,Barry Bonds,72.7
7,6,Pete Alexander,70.1
7,7,Ted Williams,69.2
7,8,Ty Cobb,69.0
7,9,Lou Gehrig,67.7
7,10,Christy Mathewson,66.6
7,11,Cy Young,66.6
7,12,Lefty Grove,66.5
7,13,Roger Clemens,66.3
7,14,Honus Wagner,65.4
7,15,Mickey Mantle,64.7
7,16,Eddie Collins,64.2
7,17,Alex Rodriguez,64.2
7,18,Stan Musial,64.2
7,19,Randy Johnson,63.5
7,20,Ed Walsh,62.2
7,21,Tris Speaker,62.1
7,22,Bob Gibson,61.6
7,23,Albert Pujols,61.6
7,24,Nap Lajoie,60.3
7,25,Hank Aaron,60.1
7,26,Tom Seaver,59.5
7,27,Jimmie Foxx,59.5
7,28,Joe Morgan,59.1
7,29,Pedro Martinez,59.1
7,30,Mike Schmidt,58.5
7,31,Rickey Henderson,57.4
7,32,Greg Maddux,56.5
7,33,Wade Boggs,56.2
7,34,Cal Ripken,56.1
7,35,Robin Roberts,55.7
7,36,Carl Yastrzemski,55.5
7,37,Phil Niekro,55.2
7,38,Wes Ferrell,54.9
7,39,Steve Carlton,54.4
7,40,Eddie Mathews,54.4
7,41,Roberto Clemente,54.3
7,42,Ken Griffey,53.9
7,43,Ron Santo,53.8
7,44,Gaylord Perry,53.5
7,45,Stan Coveleski,53.4
7,46,George Brett,53.2
7,47,Frank Robinson,52.9
7,48,Mel Ott,52.8
7,49,Hal Newhouser,52.8
7,50,Joe Jackson,52.5
7,51,Bob Feller,52.5
7,52,Juan Marichal,52.4
7,53,Fergie Jenkins,52.3
7,54,Jackie Robinson,52.1
7,55,Ernie Banks,51.9
7,56,Warren Spahn,51.8
