idx,rank,player,playerid,war
4,67,Jim Bunning,bunniji01,32.3
4,68,Chase Utley,utleych01,32.3
4,69,Eddie Mathews,matheed01,32.3
4,70,Nap Rucker,ruckena01,32.3
4,71,Mel Ott,ottme01,32.0
4,72,Frank Robinson,robinfr02,32.0
4,73,Rod Carew,carewro01,31.9
4,74,Bert Blyleven,blylebe01,31.8
4,75,Curt Schilling,schilcu01,31.8
4,76,Vic Willis,willivi01,31.6
4,77,Adrian Beltre,beltrad01,31.6
4,78,George Sisler,sislege01,31.5
4,79,Dick Allen,allendi01,31.3
4,80,Kevin Brown,brownke01,31.2
4,81,Red Faber,faberre01,31.2
4,82,Todd Helton,heltoto01,31.1
4,83,Clayton Kershaw,kershcl01,31.1
4,84,Noodles Hahn,hahnno01,31.0
4,85,Charlie Gehringer,gehrich01,31.0
4,86,Robinson Cano,canoro01,31.0
4,87,Frank Baker,bakerfr01,30.9
4,88,Zack Greinke,greinza01,30.9
4,89,Bret Saberhagen,saberbr01,30.7
4,90,Robin Yount,yountro01,30.7
4,91,Jeff Bagwell,bagweje01,30.7
4,92,Frankie Frisch,friscfr01,30.7
4,93,Al Kaline,kalinal01,30.7
4,94,Ralph Kiner,kinerra01,30.6
4,95,Eddie Plank,planked01,30.6
4,96,Johan Santana,santajo02,30.5
4,97,Russ Ford,fordru01,30.5
4,98,Johnny Bench,benchjo01,30.4
4,99,Ryne Sandberg,sandbry01,30.4
4,100,Brooks Robinson,robinbr01,30.2
4,101,Harry Heilmann,heilmha01,30.2
4,102,Reggie Jackson,jacksre01,30.1
4,103,Gary Carter,cartega01,30.0
4,104,Jason Giambi,giambja01,29.9
4,105,Dizzy Dean,deandi01,29.9
4,106,Al Simmons,simmoal01,29.7
4,107,George Uhle,uhlege01,29.7
4,108,Dave Stieb,stiebda01,29.5
4,109,Bucky Walters,waltebu01,29.5
4,110,Mordecai Brown,brownmo01,29.5
4,111,Hank Greenberg,greenha01,29.5
4,112,Larry Walker,walkela01,29.4
4,113,Andruw Jones,jonesan01,29.4
4,114,Johnny Mize,mizejo01,29.3
4,115,Tom Glavine,glavito02,29.2
